* Measurement data measured by REW V5.20.4
* Source: Lyra L
* Format: 
* Dated: Jul 11, 2022 3:32:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Lyra L
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB)
16183.106445 58.976
16300.375977 58.346
16418.496094 57.175
16537.470703 55.611
16657.308594 53.811
16778.013672 51.907
16899.593750 50.051
17022.054688 48.371
17145.404297 46.888
17269.646484 45.641
17394.789062 44.673
17520.839844 43.949
17647.802734 43.397
17775.685547 42.959
17904.496094 42.582
18034.240234 42.222
18164.923828 41.844
18296.554688 41.417
18429.138672 40.915
18562.683594 40.329
18697.197266 39.661
18832.685547 38.919
18969.154297 38.112
19106.613281 37.249
19245.068359 36.340
19384.525391 35.386
19524.994141 34.373
19666.480469 33.300
19808.992188 32.281
19952.537109 31.773
